epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
71,8606.78,1.32499,1.13532,1.90699,0.78366,0.88568,0.85527,0.72341,1.28816,0.94281,1.87391,0.000214046,0.000214046,0.000214046
72,8727.3,1.30891,1.1255,1.9116,0.78792,0.87971,0.8521,0.71941,1.27591,0.94475,1.86737,0.000201611,0.000201611,0.000201611
73,8848.1,1.31241,1.13593,1.91006,0.78105,0.87452,0.83827,0.71005,1.26993,0.95267,1.86512,0.000189475,0.000189475,0.000189475
74,8968.55,1.32074,1.11838,1.90271,0.7991,0.85789,0.84294,0.71421,1.27383,0.95184,1.86591,0.000177651,0.000177651,0.000177651
75,9089.08,1.30854,1.10591,1.90841,0.76625,0.88459,0.84122,0.71262,1.27728,0.94893,1.86686,0.000166149,0.000166149,0.000166149
76,9209.09,1.31798,1.10848,1.90799,0.78718,0.86007,0.84164,0.71462,1.27445,0.94676,1.8662,0.000154982,0.000154982,0.000154982
77,9329.51,1.29331,1.08955,1.90001,0.78099,0.86954,0.83772,0.71249,1.26789,0.95197,1.86362,0.000144161,0.000144161,0.000144161
78,9450.08,1.29025,1.0702,1.8972,0.79228,0.85399,0.83814,0.71276,1.25503,0.94884,1.85902,0.000133695,0.000133695,0.000133695
79,9570.42,1.28619,1.07698,1.89328,0.78983,0.86038,0.84284,0.71794,1.25425,0.94183,1.85996,0.000123596,0.000123596,0.000123596
80,9690.97,1.27556,1.06596,1.88418,0.7736,0.87358,0.84048,0.71387,1.26568,0.94032,1.86659,0.000113873,0.000113873,0.000113873
81,9810.98,1.274,1.06322,1.89379,0.79249,0.86257,0.84232,0.7174,1.26166,0.9329,1.86379,0.000104537,0.000104537,0.000104537
82,9931.38,1.24976,1.05044,1.88856,0.78012,0.87423,0.84072,0.71534,1.2574,0.93107,1.86197,9.55951e-05,9.55951e-05,9.55951e-05
83,10051.8,1.2685,1.07366,1.87734,0.77681,0.8801,0.83957,0.71479,1.25221,0.93085,1.8598,8.70577e-05,8.70577e-05,8.70577e-05
84,10172.2,1.26895,1.04562,1.88703,0.7848,0.87659,0.8401,0.71536,1.24702,0.92937,1.8567,7.89327e-05,7.89327e-05,7.89327e-05
85,10292.5,1.2708,1.05034,1.89123,0.78485,0.87891,0.8405,0.71583,1.24326,0.92997,1.85529,7.12282e-05,7.12282e-05,7.12282e-05
86,10413.1,1.2612,1.0386,1.88272,0.78636,0.88438,0.83966,0.71474,1.24176,0.92839,1.85272,6.39518e-05,6.39518e-05,6.39518e-05
87,10533.4,1.24945,1.03124,1.87916,0.7876,0.87321,0.84146,0.71619,1.24365,0.92656,1.85362,5.71106e-05,5.71106e-05,5.71106e-05
88,10653.8,1.26724,1.04032,1.88335,0.78536,0.87101,0.8443,0.71913,1.24439,0.92623,1.85382,5.07115e-05,5.07115e-05,5.07115e-05
89,10773.9,1.25375,1.03277,1.87859,0.78365,0.87307,0.84149,0.71588,1.24651,0.92545,1.85471,4.47606e-05,4.47606e-05,4.47606e-05
90,10894.5,1.24842,1.02524,1.87579,0.78668,0.86992,0.84214,0.71705,1.24691,0.926,1.85519,3.9264e-05,3.9264e-05,3.9264e-05
91,11015.5,1.19575,0.8806,1.84361,0.79618,0.86547,0.8437,0.71821,1.24612,0.92422,1.85511,3.4227e-05,3.4227e-05,3.4227e-05
