epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
61,5069.96,1.44198,1.36455,1.90736,0.76034,0.8427,0.81861,0.68967,1.30645,1.0555,1.82442,0.000352037,0.000352037,0.000352037
62,5152.37,1.41247,1.34416,1.89363,0.77486,0.84144,0.83059,0.6965,1.30715,1.05017,1.82433,0.000337325,0.000337325,0.000337325
63,5234.31,1.42581,1.34766,1.89754,0.76057,0.8649,0.83269,0.70193,1.29306,1.03687,1.82227,0.000322778,0.000322778,0.000322778
64,5316.97,1.41385,1.32282,1.91223,0.75809,0.86285,0.82997,0.69872,1.28282,1.0436,1.81716,0.000308412,0.000308412,0.000308412
65,5399.74,1.39551,1.3029,1.89814,0.77818,0.85995,0.82426,0.69412,1.28682,1.03165,1.81905,0.000294239,0.000294239,0.000294239
66,5481.69,1.40758,1.29172,1.89912,0.77764,0.84291,0.8274,0.69895,1.28101,1.01782,1.8179,0.000280275,0.000280275,0.000280275
67,5564.61,1.38666,1.26856,1.88968,0.77191,0.85248,0.82635,0.69633,1.27545,1.01711,1.8181,0.000266532,0.000266532,0.000266532
68,5648.21,1.37459,1.26591,1.88157,0.75946,0.85336,0.82765,0.70034,1.27717,1.02186,1.81765,0.000253024,0.000253024,0.000253024
69,5731.44,1.39858,1.2849,1.88908,0.75972,0.85412,0.82614,0.69624,1.28021,1.01707,1.81744,0.000239766,0.000239766,0.000239766
70,5814.46,1.38031,1.26111,1.88752,0.76472,0.85373,0.82786,0.69818,1.27587,1.01303,1.81468,0.000226769,0.000226769,0.000226769
71,5896.89,1.36774,1.25222,1.8795,0.76529,0.85047,0.8272,0.69878,1.27531,1.00759,1.8145,0.000214046,0.000214046,0.000214046
72,5980.09,1.38664,1.27124,1.8842,0.7639,0.86613,0.82823,0.69883,1.27641,1.00886,1.81461,0.000201611,0.000201611,0.000201611
73,6062.93,1.37274,1.25494,1.88651,0.76905,0.85597,0.83072,0.70091,1.27694,0.99882,1.81317,0.000189475,0.000189475,0.000189475
74,6146.13,1.36316,1.24497,1.87783,0.77782,0.86735,0.83101,0.702,1.27684,0.99892,1.81135,0.000177651,0.000177651,0.000177651
75,6227.78,1.35787,1.22435,1.87569,0.77809,0.8736,0.83069,0.70131,1.27035,0.99106,1.80991,0.000166149,0.000166149,0.000166149
76,6312.61,1.35056,1.25584,1.87727,0.78211,0.87628,0.83547,0.70712,1.26745,0.98879,1.80955,0.000154982,0.000154982,0.000154982
77,6394.98,1.36114,1.24169,1.8801,0.78441,0.86295,0.83939,0.71242,1.26407,0.99008,1.80837,0.000144161,0.000144161,0.000144161
78,6479.43,1.3465,1.20153,1.87453,0.76523,0.87148,0.83617,0.70963,1.26561,0.99222,1.81007,0.000133695,0.000133695,0.000133695
79,6562.6,1.34924,1.20522,1.86275,0.78705,0.85004,0.83687,0.70996,1.26903,0.99028,1.81014,0.000123596,0.000123596,0.000123596
80,6648.9,1.32406,1.17633,1.85775,0.77979,0.85965,0.83726,0.70891,1.26734,0.9942,1.80975,0.000113873,0.000113873,0.000113873
81,6730.43,1.3365,1.20175,1.86386,0.78712,0.85139,0.84078,0.71106,1.26828,0.98627,1.80972,0.000104537,0.000104537,0.000104537
