epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
62,12524.9,1.34573,1.18566,1.98356,0.79095,0.85769,0.838,0.70801,1.27173,0.98137,1.9181,0.000337325,0.000337325,0.000337325
63,12734,1.34548,1.1999,1.97179,0.78282,0.88743,0.83183,0.70415,1.25653,0.97095,1.91261,0.000322778,0.000322778,0.000322778
64,12929.9,1.32883,1.18867,1.97933,0.79653,0.87215,0.84138,0.71218,1.25672,0.95339,1.91512,0.000308412,0.000308412,0.000308412
65,13125.9,1.33406,1.17582,1.96842,0.78085,0.87359,0.83207,0.70367,1.25009,0.96987,1.91253,0.000294239,0.000294239,0.000294239
66,13321.6,1.33889,1.17929,1.97732,0.77621,0.88562,0.83688,0.70882,1.25046,0.96763,1.9075,0.000280275,0.000280275,0.000280275
67,13517.3,1.31895,1.14946,1.96477,0.78494,0.87125,0.83881,0.71026,1.2608,0.96493,1.91423,0.000266532,0.000266532,0.000266532
68,13725.1,1.31058,1.15466,1.96295,0.78311,0.88443,0.84226,0.71422,1.24711,0.9554,1.90432,0.000253024,0.000253024,0.000253024
69,13922.8,1.31155,1.12798,1.96429,0.78227,0.87781,0.83944,0.70975,1.25473,0.96007,1.90778,0.000239766,0.000239766,0.000239766
70,14118.6,1.30933,1.12747,1.95149,0.78406,0.87596,0.83962,0.70978,1.25639,0.95564,1.90753,0.000226769,0.000226769,0.000226769
71,14328,1.29588,1.12467,1.94971,0.78095,0.88417,0.83972,0.70956,1.25381,0.94595,1.90395,0.000214046,0.000214046,0.000214046
72,14523.5,1.29401,1.1489,1.9443,0.78616,0.88149,0.84444,0.71467,1.25799,0.94367,1.91117,0.000201611,0.000201611,0.000201611
73,14719.3,1.28726,1.12774,1.93985,0.79203,0.87722,0.84414,0.71404,1.24665,0.9452,1.90426,0.000189475,0.000189475,0.000189475
74,14915,1.28511,1.1156,1.94875,0.79882,0.86738,0.84329,0.71253,1.25025,0.94499,1.90452,0.000177651,0.000177651,0.000177651
75,15110.6,1.26736,1.0948,1.93693,0.79632,0.86814,0.84445,0.71501,1.24502,0.94349,1.9006,0.000166149,0.000166149,0.000166149
76,15321,1.2816,1.10366,1.94838,0.78972,0.87384,0.83956,0.71239,1.24553,0.94514,1.90104,0.000154982,0.000154982,0.000154982
77,15516.6,1.27564,1.07716,1.93967,0.77929,0.89184,0.84583,0.7158,1.2489,0.94344,1.90381,0.000144161,0.000144161,0.000144161
78,15713.4,1.25613,1.07031,1.93779,0.78633,0.88239,0.8461,0.71748,1.24983,0.94128,1.90506,0.000133695,0.000133695,0.000133695
